method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,8.60201e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,6.88161e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,5.50529e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,4.40423e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,3.52338e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,2.81871e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,2.25497e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.80397e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.44318e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.1545399999999999e-38,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
