method,parameter,total_features,score,features_names,feature_weights,feature_complexities
lasso,2.4512497076292066,35,-3.169633919048978e+31,[],[],[]
lasso,1.5095977473195672,35,-338136.26353959006,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-0.7532],[4.0]
lasso,0.9296830721160588,35,-147692.0986905231,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.217],[4.0]
lasso,0.5725436568210424,35,-107057.77653448601,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.5026],[4.0]
lasso,0.35259998681043986,35,-95102.29821025817,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.6868, -0.2085]","[4.0, 2.0]"
lasso,0.2171480710991139,35,-88482.59428437585,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8071, -0.5126]","[4.0, 2.0]"
lasso,0.1337302511228276,35,-84146.08753190133,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-0.0044, -1.8811, -0.6703]","[4.0, 4.0, 2.0]"
lasso,0.08235753591940385,35,-81863.78113616383,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-0.01, -1.9267, -0.7482]","[4.0, 4.0, 2.0]"
lasso,0.05071974116377088,35,-80471.77235646591,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-0.0133, -1.9548, -0.7975]","[4.0, 4.0, 2.0]"
lasso,2.4512497076292066,46,-3.169633919048978e+31,[],[],[]
lasso,1.5095977473195672,46,-338136.26353959006,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-0.7532],[4.0]
lasso,0.9296830721160588,46,-147692.0986905231,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.217],[4.0]
lasso,0.5725436568210424,46,-107057.77653448601,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.5026],[4.0]
lasso,0.35259998681043986,46,-95102.29821025817,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.6868, -0.2085]","[4.0, 2.0]"
lasso,0.2171480710991139,46,-88482.59428437585,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8071, -0.5126]","[4.0, 2.0]"
lasso,0.1337302511228276,46,-84146.08753190133,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-0.0044, -1.8811, -0.6703]","[4.0, 4.0, 2.0]"
lasso,0.08235753591940385,46,-81863.78113616383,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-0.01, -1.9267, -0.7482]","[4.0, 4.0, 2.0]"
lasso,0.05071974116377088,46,-80471.77235646591,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-0.0133, -1.9548, -0.7975]","[4.0, 4.0, 2.0]"
lasso,2.4512497076292066,57,-3.169633919048978e+31,[],[],[]
lasso,1.5095977473195672,57,-338136.26353959006,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-0.7532],[4.0]
lasso,0.9296830721160588,57,-147692.0986905231,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.217],[4.0]
lasso,0.5725436568210424,57,-107057.77653448601,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.5026],[4.0]
lasso,0.35259998681043986,57,-95102.29772343933,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'F_0']","[-1.6864, -0.2085, -0.0004]","[4.0, 2.0, nan]"
lasso,0.2171480710991139,57,-88482.59381668433,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'F_0']","[-1.7947, -0.5126, -0.0124]","[4.0, 2.0, nan]"
lasso,0.1337302511228276,57,-84143.22431767083,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'F_0']","[-0.0044, -1.8614, -0.6703, -0.0198]","[4.0, 4.0, 2.0, nan]"
lasso,0.08235753591940385,57,-81861.21262945377,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'F_0']","[-0.01, -1.9024, -0.7482, -0.0244]","[4.0, 4.0, 2.0, nan]"
lasso,0.05071974116377088,57,-80469.40338745453,"['n_count(c_some(r_top,c_primitive(holding,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'F_0']","[-0.0133, -1.9276, -0.7975, -0.0273]","[4.0, 4.0, 2.0, nan]"
