method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,2.4789e-19,5.0,5,1.0,1.8404670697882921e-09,4.548548231389786e-18,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.163007468107935e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.62396e-19,5.0,5,1.0,1.4578358273482854e-09,3.0651678442045483e-18,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-9.715122040176993e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.2736e-19,5.0,5,1.0,1.2473062157174397e-09,2.0074866051670466e-18,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-9.202150152987087e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,8.22287e-20,5.0,5,1.0,1.0012628726736253e-09,1.4130591831013259e-18,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-6.741851521496756e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,5.0201099999999997e-20,5.0,5,1.0,8.277371215309054e-10,9.199423421431486e-19,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-5.231703958941125e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.2805699999999995e-20,5.0,5,1.0,6.556667163122979e-10,6.199253675204121e-19,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.368854167324798e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.57777e-20,5.0,5,1.0,5.609670760348228e-10,4.060265609899785e-19,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.1390890714865236e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.6623399999999998e-20,5.0,5,1.0,4.5031717342465994e-10,2.858011089104094e-19,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.031801476538476e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.0158799999999999e-20,5.0,5,1.0,3.7226776716576106e-10,1.86067753478685e-19,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.3531177006930193e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.6323599999999995e-21,5.0,5,1.0,2.9488315715280637e-10,1.2538596740523818e-19,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.9647794502475335e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
