method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,1.70531e-37,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,1.3642499999999998e-37,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,1.0914e-37,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,8.73117e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,6.984939999999999e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,5.58795e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,4.47036e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,3.57629e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,2.8610299999999997e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
L0,2.28882e-38,2.0,2,1.0,2.304055876974925e-16,1.5416946051236046e-31,"['n_count(c_primitive(holding,0))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[-4.440892098500626e-16, -1.0, -2.0]","[2.0, 4.0]",2.0
