method,parameter,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
omp,5,57,0.9799870189444879,0.2757968898798484,0.12510115871718713,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_sum_concept_distance(c_primitive(on,0),r_primitive(on,0,1),c_primitive(on-table,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.09337575284526824, 0.11676238587704418, -2.006131861527429, -0.09978721310551446, -0.06450941309592943]","[4.0, 3.0, 4.0, 4.0, 4.0]",0
omp,6,57,0.9895526388652071,0.20435818255073945,0.06530646183465665,"['n_count(c_all(r_primitive(on,0,1),c_primitive(clear_g,0)))', 'n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_sum_concept_distance(c_primitive(on,0),r_primitive(on,0,1),c_primitive(on-table,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-0.4536246108960854, 0.11797511570685505, 0.05740418317490602, -1.8465721571879394, -0.053971631101921456, -0.032431379773677535]","[4.0, 4.0, 3.0, 4.0, 4.0, 4.0]",0
omp,7,57,0.9942755506019594,0.15630142978316483,0.03578353723147845,"['n_count(c_not(c_primitive(holding,0)))', 'n_count(c_all(r_primitive(on,0,1),c_primitive(clear_g,0)))', 'n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_sum_concept_distance(c_primitive(on,0),r_primitive(on,0,1),c_primitive(on-table,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.3393774163936569, -0.48693215106993776, 0.0773557793462802, 0.001691977721776218, -1.8448173560988563, -0.026151479918858564, -0.05422263467610836]","[3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0]",0
omp,8,57,0.9997575946780274,0.024939641424460222,0.001515275838910002,"['n_count(c_not(c_primitive(holding,0)))', 'n_count(c_all(r_primitive(on,0,1),c_primitive(clear_g,0)))', 'n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_sum_concept_distance(c_primitive(on,0),r_primitive(on,0,1),c_primitive(on-table,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))', 'n_concept_distance(c_primitive(clear_g,0),r_top,c_primitive(on,1))']","[0.40642879695746537, -0.5896420291828837, 0.08000583921794444, -0.0008751010113225155, -2.0017650497339314, 0.0005890744076650386, -0.04695599937089395, -0.590447338583709]","[3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0]",0
omp,9,57,0.999766840211903,0.024015947510391013,0.0014574820001217476,"['n_sum_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_not(c_primitive(holding,0)))', 'n_count(c_all(r_primitive(on,0,1),c_primitive(clear_g,0)))', 'n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_sum_concept_distance(c_primitive(on,0),r_primitive(on,0,1),c_primitive(on-table,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))', 'n_concept_distance(c_primitive(clear_g,0),r_top,c_primitive(on,1))']","[-0.01207260520870842, 0.4047158447196004, -0.5890186961990275, 0.07998685992056956, 0.0004273517927397952, -1.9966160279854321, 0.0011284625026360263, -0.047117595476248345, -0.5834598215818535]","[4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0]",0
omp,1,68,-0.01414890506203359,2.0028354164547792,6.339445522039482,"['n_count(r_not(r_identity(c_primitive(clear,0))))']",[-0.05786073742522784],[4.0],0
omp,2,68,0.14098245753714445,1.864250579956304,5.369719264831634,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.16199836877886434, -0.12459290275229871]","[4.0, 4.0]",0
omp,3,68,0.9635831207652578,0.44428349924457533,0.2276419378249171,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.023310084114119427, -1.925546460155726, -0.02132754597548783]","[4.0, 4.0, 4.0]",0
omp,4,68,0.975886228076955,0.31927384142171616,0.15073520532734583,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.07483089616817092, 0.1188446143581904, -2.0077498402221097, -0.0602427791240896]","[4.0, 3.0, 4.0, 4.0]",0
omp,5,68,0.9799870189444879,0.2757968898798484,0.1251011587171871,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_sum_concept_distance(c_primitive(on,0),r_primitive(on,0,1),c_primitive(on-table,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.09337575284526824, 0.11676238587704418, -2.006131861527429, -0.09978721310551446, -0.06450941309592943]","[4.0, 3.0, 4.0, 4.0, 4.0]",0
